Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Ni (at.%),composition,Ti (at.%),Au (at.%)
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,22.0,8.7859,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,24.0,8.7859,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,32.0,8.7859,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,29.0,8.7859,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
T. Butler,Master's Thesis,,2013.0,89.0,9.34951,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
T. Butler,Master's Thesis,,2013.0,98.0,9.34951,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
T. Butler,Master's Thesis,,2013.0,102.0,9.34951,26.0,Ni26.0Ti49.0Au25.0 %,49.0,25.0
,,,2022.0,66.5887,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,61.7,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,59.095,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,58.503,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,38.821,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,56.521,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,81.346,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,82.136,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,83.155,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,83.348,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,84.785,6.837826,49.6,Ni49.6Ti49.4Au1.0 %,49.4,1.0
,,,2022.0,64.64759,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,58.3442,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,57.222,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,38.764,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,56.129,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,54.425,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,70.849,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,69.988,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,74.197,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,78.211,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
