Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,72.0,7.49364,71.7,Cu71.7Al21.3Mn7.0 %,21.3,7.0
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,64.0,7.45529,70.7,Cu70.7Al21.8Mn7.5 %,21.8,7.5
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,47.0,7.47635,76.1,Cu76.1Al23.0Mn0.9 %,23.0,0.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,45.8,7.24705,71.8,Cu71.8Al26.5Mn1.7 %,26.5,1.7
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,40.7,7.32833,72.8,Cu72.8Al25.1Mn2.1 %,25.1,2.1
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,40.7,7.32833,72.8,Cu72.8Al25.1Mn2.1 %,25.1,2.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,47.1,7.11395,69.2,Cu69.2Al28.5Mn2.3 %,28.5,2.3
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,55.3,7.20725,70.7,Cu70.7Al27.0Mn2.3 %,27.0,2.3
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,59.0,7.20725,70.7,Cu70.7Al27.0Mn2.3 %,27.0,2.3
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,49.2,7.18092,70.2,Cu70.2Al27.4Mn2.4 %,27.4,2.4
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,58.3,7.40858,73.4,Cu73.4Al23.6Mn3.0 %,23.6,3.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,50.8,7.40858,73.4,Cu73.4Al23.6Mn3.0 %,23.6,3.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,46.1,7.20809,70.1,Cu70.1Al26.8Mn3.1 %,26.8,3.1
