Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Hf (at.%)
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,195.0,226.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,198.0,233.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,197.0,234.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,118.0,166.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,126.0,176.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,110.0,140.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,111.0,153.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,109.0,138.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,110.0,147.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,108.0,143.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,123.0,174.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
N. N. Popov; D. V. Presnyakov; E. N. Grishin; T. I. Sysoeva; T. A. Morozova and A. A. Kostyleva,Russian Metallurgy (Metally),Properties of a 49Ni–36Ti–15Hf High-Temperature Shape Memory Alloy in the As-Cast State,2019.0,210.0,234.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
