Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Zr (at.%)
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,289.0,145.0,49.5,Ni49.5Ti30.799999999999997Zr19.7 %,30.8,19.7
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,307.0,149.0,49.5,Ni49.5Ti30.799999999999997Zr19.7 %,30.8,19.7
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,200.0,84.0,47.5,Ni47.5Ti29.4Zr23.1 %,29.4,23.1
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,192.0,72.0,47.5,Ni47.5Ti29.4Zr23.1 %,29.4,23.1
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,190.0,57.0,47.5,Ni47.5Ti29.4Zr23.1 %,29.4,23.1
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,191.0,47.0,47.5,Ni47.5Ti29.4Zr23.1 %,29.4,23.1
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,195.0,48.0,47.5,Ni47.5Ti29.400000000000006Zr23.1 %,29.4,23.1
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,191.0,43.0,47.5,Ni47.5Ti29.4Zr23.1 %,29.4,23.1
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,166.0,28.0,49.9,Ni49.9Ti20.599999999999994Zr29.5 %,20.6,29.5
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,163.0,24.0,49.9,Ni49.9Ti20.6Zr29.5 %,20.6,29.5
