Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Cu (at.%),composition,Al (at.%),Mn (at.%)
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,42.0,-23.0,70.1,Cu70.1Al23.6Mn6.3 %,23.6,6.3
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,-3.0,-63.0,69.3,Cu69.3Al23.8Mn6.9 %,23.8,6.9
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,-13.0,-61.0,69.3,Cu69.3Al23.8Mn6.9 %,23.8,6.9
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,-48.0,-113.0,68.2,Cu68.2Al22.8Mn9.0 %,22.8,9.0
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,-48.0,-103.0,68.2,Cu68.2Al22.8Mn9.0 %,22.8,9.0
Mellor ;Hernaez; Castillo,,SHAPE MEMORY EFFECTS IN A Cu-AI-Mn ALLOY,1986.0,88.0,-32.0,70.5,Cu70.5Al22.8Mn6.7 %,22.8,6.7
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,200.0,80.0,72.0,Cu72.0Al25.0Mn3.0 %,25.0,3.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,45.0,6.0,71.4,Cu71.4Al25.4Mn3.2 %,25.4,3.2
Mielczarek; Wockel;Riehemann,,Effect of cold rolling on the damping of as cast Cu – Al - Mn shape memory alloys,2008.0,50.0,-29.0,71.6,Cu71.6Al24.2Mn4.2 %,24.2,4.2
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,60.0,-10.0,71.8,Cu71.8Al23.6Mn4.6 %,23.6,4.6
