Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Cu (at.%),composition,Au (at.%),Al (at.%)
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,200.0,50.0,32.2,Au43.3Cu32.2Al24.5 %,43.3,24.5
